MY_ID,OTHER_ID,VALUE
did:indy:c6ec16df69c025ff,did:indy:0498be39b559ff7b,1
did:indy:d15ce73d27e28cdd,did:indy:0498be39b559ff7b,1
did:indy:525f0493ccfacfda,did:indy:9f7d360e01593e9c,1
did:indy:0107a26937094567,did:indy:9f7d360e01593e9c,1
did:indy:d5a4e9794b99cb69,did:indy:9f7d360e01593e9c,1
did:indy:df64f3cf89200eda,did:indy:2a63dc38cc2caa83,1
did:indy:337a681e46d7c4b8,did:indy:6536dec2e7de4e60,1
did:indy:337a681e46d7c4b8,did:indy:801bff4662e9a9cd,0
did:indy:23393f567b30a880,did:indy:239579ddadd00f86,1
did:indy:24c3d86e30193332,did:indy:9f7d360e01593e9c,1
did:indy:a9b296ebc7479415,did:indy:801bff4662e9a9cd,1
did:indy:f077746785609e5d,did:indy:9f7d360e01593e9c,1
did:indy:29a26b062e5c36ad,did:indy:9f7d360e01593e9c,1
did:indy:cc4995885c596ff7,did:indy:d29cbe66d6ec3edd,1
did:indy:c0d43682e72458ba,did:indy:801bff4662e9a9cd,1
did:indy:d991e36dc603dbb0,did:indy:2a63dc38cc2caa83,1
did:indy:e4cd9218688c077b,did:indy:9f7d360e01593e9c,1
did:indy:47339b156b3d3742,did:indy:801bff4662e9a9cd,1
did:indy:56c2357008cf6e16,did:indy:801bff4662e9a9cd,1
did:indy:47ea11ce9800fc06,did:indy:0498be39b559ff7b,1
did:indy:38db7c2db8419184,did:indy:0498be39b559ff7b,1
did:indy:9edeb2900a99d3b3,did:indy:801bff4662e9a9cd,0
did:indy:ba19ca6fb2cff455,did:indy:50186291f0a55ae3,1
did:indy:ba19ca6fb2cff455,did:indy:9f7d360e01593e9c,1
did:indy:2d9e748bcbdb1e5e,did:indy:9f7d360e01593e9c,1
did:indy:c596041159565fb8,did:indy:9f7d360e01593e9c,1
did:indy:bc1ee56a3e76d4c0,did:indy:0498be39b559ff7b,1
did:indy:bc1ee56a3e76d4c0,did:indy:50186291f0a55ae3,1
did:indy:c37db80418cf16e0,did:indy:801bff4662e9a9cd,1
did:indy:857794f07350a691,did:indy:0498be39b559ff7b,1
did:indy:78dc6bea0b68969f,did:indy:9f7d360e01593e9c,1
did:indy:1ba7436a0d387ca5,did:indy:801bff4662e9a9cd,1
did:indy:751f1d2d7ba5e190,did:indy:677fb496d29b0648,1
did:indy:e724ddb16455a516,did:indy:9f7d360e01593e9c,1
did:indy:2d4c7747c8b3f44e,did:indy:9f7d360e01593e9c,1
did:indy:2d4c7747c8b3f44e,did:indy:677fb496d29b0648,1
did:indy:a33004db3bb6cf72,did:indy:e504157478e9a4e7,1
did:indy:342a67d23ae4df6b,did:indy:50186291f0a55ae3,0
did:indy:2287bcda4a08260c,did:indy:2a63dc38cc2caa83,1
did:indy:2b6193e4cefc614a,did:indy:e504157478e9a4e7,1
did:indy:f760553a11f26739,did:indy:239579ddadd00f86,1
did:indy:a89c2039c0f02d6c,did:indy:677fb496d29b0648,1
did:indy:cb4a22a6f660d94b,did:indy:50186291f0a55ae3,1
did:indy:1a9d5b625404549b,did:indy:801bff4662e9a9cd,1
did:indy:8b10118866c3bd67,did:indy:239579ddadd00f86,1
did:indy:2398c708d401d78c,did:indy:9f7d360e01593e9c,1
did:indy:968a1c27d2f62184,did:indy:0498be39b559ff7b,1
did:indy:5a0f79df989e6de1,did:indy:801bff4662e9a9cd,1
did:indy:a524f8c10ed9892d,did:indy:d29cbe66d6ec3edd,1
did:indy:be1a1e4399772150,did:indy:1e7d54bc14de0a47,1
did:indy:69743c1d5db7cdaf,did:indy:801bff4662e9a9cd,1
did:indy:947f7758afc098ce,did:indy:d29cbe66d6ec3edd,1
did:indy:3a7de8ba4ef9f84e,did:indy:d29cbe66d6ec3edd,1
did:indy:89209d3e2f750d00,did:indy:5c2803deafdfbc06,1
did:indy:89209d3e2f750d00,did:indy:d29cbe66d6ec3edd,1
did:indy:ff1d32a15230fd56,did:indy:5c2803deafdfbc06,1
