SOURCE,TARGET,CONTEXT
did:indy:5e62d99f0aacd03a,did:indy:5c2803deafdfbc06,45504
did:indy:5e018f32c62e9519,did:indy:677fb496d29b0648,45504
did:indy:7422ff8de00440be,did:indy:f2c4d7de9d8556e8,45504
did:indy:e4cd9218688c077b,did:indy:6536dec2e7de4e60,45504
did:indy:868426a7b404a27c,did:indy:d29cbe66d6ec3edd,45504
did:indy:c749e9a9de6c5e1e,did:indy:e71ea3c452f10fb9,45504
did:indy:269c795b0644f7d7,did:indy:9f7d360e01593e9c,45504
did:indy:525f0493ccfacfda,did:indy:0498be39b559ff7b,45504
did:indy:ee31589059ac8b64,did:indy:2a63dc38cc2caa83,45504
did:indy:50305d98c72cb965,did:indy:50186291f0a55ae3,45504
