SOURCE,TARGET,CONTEXT
did:indy:cc4995885c596ff7,did:indy:239579ddadd00f86,45504
did:indy:7fa1a9bdf2541812,did:indy:50186291f0a55ae3,45504
did:indy:1c5f84f43f621915,did:indy:d29cbe66d6ec3edd,45504
did:indy:b9979b9eaf16571e,did:indy:6536dec2e7de4e60,45504
did:indy:3da9425f54c1721a,did:indy:e71ea3c452f10fb9,45504
did:indy:596c85c691b1d064,did:indy:9f7d360e01593e9c,45504
did:indy:3fcdeee287c5c787,did:indy:0498be39b559ff7b,45504
did:indy:61a9fb7f6568f718,did:indy:801bff4662e9a9cd,45504
did:indy:4105797a4459fbc0,did:indy:2a63dc38cc2caa83,45504
did:indy:2303ebe6c6f07bdb,did:indy:5c2803deafdfbc06,45504
